N.HRSH    34.5810   132.4295  0.20908
N.TGUH    34.5716   132.2326  0.1614
N.HISH    34.4122   132.3907  -0.0516
N.GEIH    34.7471   132.3794  0.612
N.SKIH    34.3935   132.1611  0.25
N.YSHH    34.6629   132.6689  0.1784
N.HIKH    34.5725   132.0122  0.06008
N.MITH    34.6940   132.0402  0.08155
N.IWAH    34.8801   132.4207  0.20008
N.KURH    34.2882   132.6411  0.128
N.OKMH    34.2090   132.4063  -0.0616
N.HHIH    34.4572   132.7923  0.1334
N.KNGH    34.8839   132.2026  0.05955
N.HSMH    34.8697   132.6396  0.06455
N.MICH    34.3904   131.8925  0.148
N.MKWH    34.1974   131.9943  -0.135
N.KSAH    34.7016   132.9524  0.234
N.OOCH    35.0918   132.5308  0.13955
N.MIHH    34.3736   133.0236  -0.17147
N.TMGH    34.6257   131.6681  -0.09
N.SYTH    34.0270   132.0626  0.073
N.MTMH    34.4837   131.6329  0.165
N.TOHH    33.9291   132.4046  -0.0966
N.MYKH    34.1918   133.0581  -0.0966
N.TKJH    34.2091   131.6859  -0.08
N.YSDH    35.1634   132.8558  0.279
N.NMKH    34.3785   133.3493  -0.175
N.MTOH    34.2176   131.3597  0.04706
N.TBEH    33.7112   132.8032  0.005
N.HKTH    35.2963   133.2604  0.06908
