N.KWHH    35.3946   134.1988  -0.07156
N.CHZH    35.2604   134.2173  0.02953
N.IAMH    35.5729   134.3426  -0.13792
N.KSBH    35.2826   133.9263  0.295
N.SKGH    35.3649   133.7486  0.03344
N.SYOH    35.0732   134.1162  -0.07147
N.OHAH    35.0999   134.3190  0.07953
N.HAGH    35.2193   134.5237  0.265
N.MROH    35.4697   134.5953  0.12341
N.NKOH    35.0671   134.4234  0.102
N.AKSH    35.4667   133.6307  -0.09445
N.YBRH    35.1809   133.6765  0.305
N.KMGH    34.8995   134.3284  -0.02
N.YMSH    35.0322   134.6701  0.06
N.SGUH    34.9313   134.5423  -0.02992
N.TKBH    34.8684   133.8527  0.22
N.SNTH    35.2925   134.9071  -0.02
N.HKBH    34.9363   133.6205  0.11717
N.SETH    34.7501   134.0702  -0.17057
N.KAMH    35.1006   134.9037  0.04508
N.HNSH    34.7283   134.2744  -0.10118
N.MHSH    35.5579   133.3004  -0.192
N.HKTH    35.2963   133.2604  0.06908
N.SGOH    35.0493   133.3169  0.4635
N.TTAH    34.9103   133.4055  0.33
N.FKCH    35.3130   135.1334  -0.261
N.UUMH    34.4572   134.3241  -0.41452
